ticker,headline
AAPL,"Apple shares rally after earnings beat and upbeat guidance"
MSFT,"Microsoft Azure growth slows; analysts cut price targets"
NVDA,"NVIDIA hits record high on AI chip demand"
JPM,"JPMorgan profit rises as trading revenue surprises to the upside"
TSLA,"Tesla recalls vehicles over software defect, stock slips"
GS,"Goldman Sachs warns of macro headwinds for dealmaking"
RKLB,"Rocket Lab secures new launch contract with satellite operator"
BA,"Boeing delivery delays deepen amid supplier bottlenecks"
LMT,"Lockheed Martin wins multibillion defense contract extension"
RTX,"RTX raises outlook on strong aerospace aftermarket sales"
